Training model...
step: 0, nll_train: 19.145004, rec_acc_eval: 0.333
step: 1, nll_train: 18.895044, rec_acc_eval: 0.343
step: 2, nll_train: 18.953638, rec_acc_eval: 0.345
step: 3, nll_train: 18.719090, rec_acc_eval: 0.341
step: 4, nll_train: 18.486124, rec_acc_eval: 0.337
step: 5, nll_train: 18.326752, rec_acc_eval: 0.332
step: 6, nll_train: 18.066158, rec_acc_eval: 0.331
step: 7, nll_train: 17.886307, rec_acc_eval: 0.340
step: 8, nll_train: 17.607124, rec_acc_eval: 0.350
step: 9, nll_train: 17.402348, rec_acc_eval: 0.359
step: 10, nll_train: 17.280151, rec_acc_eval: 0.374
step: 11, nll_train: 16.975174, rec_acc_eval: 0.393
step: 12, nll_train: 16.852325, rec_acc_eval: 0.403
step: 13, nll_train: 16.708490, rec_acc_eval: 0.424
step: 14, nll_train: 16.610626, rec_acc_eval: 0.435
step: 15, nll_train: 16.470943, rec_acc_eval: 0.441
step: 16, nll_train: 16.436886, rec_acc_eval: 0.441
step: 17, nll_train: 16.227669, rec_acc_eval: 0.448
step: 18, nll_train: 16.208847, rec_acc_eval: 0.454
step: 19, nll_train: 16.216660, rec_acc_eval: 0.467
step: 20, nll_train: 16.037058, rec_acc_eval: 0.478
step: 21, nll_train: 15.974599, rec_acc_eval: 0.497
step: 22, nll_train: 15.706094, rec_acc_eval: 0.505
step: 23, nll_train: 15.626682, rec_acc_eval: 0.515
step: 24, nll_train: 15.511300, rec_acc_eval: 0.515
step: 25, nll_train: 15.422060, rec_acc_eval: 0.522
step: 26, nll_train: 15.232212, rec_acc_eval: 0.534
step: 27, nll_train: 15.355603, rec_acc_eval: 0.553
step: 28, nll_train: 15.138706, rec_acc_eval: 0.565
step: 29, nll_train: 15.022154, rec_acc_eval: 0.561
step: 30, nll_train: 14.861137, rec_acc_eval: 0.565
step: 31, nll_train: 14.789681, rec_acc_eval: 0.568
step: 32, nll_train: 14.494595, rec_acc_eval: 0.570
step: 33, nll_train: 14.576187, rec_acc_eval: 0.572
step: 34, nll_train: 14.274439, rec_acc_eval: 0.579
step: 35, nll_train: 14.216839, rec_acc_eval: 0.580
step: 36, nll_train: 14.255075, rec_acc_eval: 0.590
step: 37, nll_train: 14.072279, rec_acc_eval: 0.594
step: 38, nll_train: 14.125986, rec_acc_eval: 0.595
step: 39, nll_train: 14.034336, rec_acc_eval: 0.599
step: 40, nll_train: 13.927987, rec_acc_eval: 0.600
step: 41, nll_train: 13.943790, rec_acc_eval: 0.604
step: 42, nll_train: 13.680780, rec_acc_eval: 0.622
step: 43, nll_train: 13.534515, rec_acc_eval: 0.625
step: 44, nll_train: 13.312449, rec_acc_eval: 0.629
step: 45, nll_train: 13.201026, rec_acc_eval: 0.624
step: 46, nll_train: 13.070102, rec_acc_eval: 0.631
step: 47, nll_train: 13.012592, rec_acc_eval: 0.634
step: 48, nll_train: 12.979746, rec_acc_eval: 0.630
step: 49, nll_train: 12.899107, rec_acc_eval: 0.638
step: 50, nll_train: 12.817522, rec_acc_eval: 0.636
step: 51, nll_train: 12.603434, rec_acc_eval: 0.644
step: 52, nll_train: 12.430710, rec_acc_eval: 0.643
step: 53, nll_train: 12.375990, rec_acc_eval: 0.646
step: 54, nll_train: 12.200114, rec_acc_eval: 0.646
step: 55, nll_train: 12.176732, rec_acc_eval: 0.645
step: 56, nll_train: 12.127974, rec_acc_eval: 0.636
step: 57, nll_train: 12.097191, rec_acc_eval: 0.635
step: 58, nll_train: 11.977259, rec_acc_eval: 0.642
step: 59, nll_train: 11.920034, rec_acc_eval: 0.649
step: 60, nll_train: 11.846039, rec_acc_eval: 0.642
step: 61, nll_train: 11.655403, rec_acc_eval: 0.644
step: 62, nll_train: 11.599698, rec_acc_eval: 0.644
step: 63, nll_train: 11.580100, rec_acc_eval: 0.648
step: 64, nll_train: 11.386002, rec_acc_eval: 0.654
step: 65, nll_train: 11.408247, rec_acc_eval: 0.653
step: 66, nll_train: 11.370595, rec_acc_eval: 0.661
step: 67, nll_train: 11.294407, rec_acc_eval: 0.659
step: 68, nll_train: 11.257986, rec_acc_eval: 0.654
step: 69, nll_train: 11.259647, rec_acc_eval: 0.660
step: 70, nll_train: 11.414976, rec_acc_eval: 0.666
step: 71, nll_train: 11.064932, rec_acc_eval: 0.665
step: 72, nll_train: 11.354916, rec_acc_eval: 0.665
step: 73, nll_train: 11.221244, rec_acc_eval: 0.666
step: 74, nll_train: 10.941955, rec_acc_eval: 0.668
step: 75, nll_train: 11.024846, rec_acc_eval: 0.661
step: 76, nll_train: 10.930193, rec_acc_eval: 0.663
step: 77, nll_train: 10.936080, rec_acc_eval: 0.662
