run_id ,learning_rate ,hidden_dim ,latent_dim ,iterations ,out_channels ,kernel ,seg_acc            ,skill_acc           ,l2_distance
     0 ,       0.0001 ,       128 ,        16 ,       100 ,           8 ,     3 ,0.671875           ,0.4192708333333333  ,4.310566562838829
     1 ,       0.0001 ,       128 ,        16 ,       100 ,          16 ,     3 ,0.5583333333333333 ,0.3763888888888889  ,5.8566634000695466
     2 ,       0.0001 ,       128 ,        16 ,       100 ,          32 ,     3 ,0.551923076923077  ,0.3467948717948718  ,6.046563428413411
     3 ,       0.0001 ,       128 ,        16 ,       100 ,          64 ,     3 ,0.565              ,0.3522222222222222  ,5.621768625475011
     4 ,       0.0001 ,       128 ,        16 ,      1000 ,           8 ,     3 ,0.7751677852348994 ,0.37360178970917224 ,2.283887670491119
     5 ,       0.0001 ,       128 ,        16 ,      1000 ,          16 ,     3 ,0.7772108843537415 ,0.35714285714285715 ,2.237156932750518
     6 ,       0.0001 ,       128 ,        16 ,      1000 ,          32 ,     3 ,0.7670068027210885 ,0.3786848072562358  ,2.4015302995440684
     7 ,       0.0001 ,       128 ,        16 ,      1000 ,          64 ,     3 ,0.8344594594594594 ,0.36936936936936937 ,1.8364710602722727
     8 ,       0.0001 ,       128 ,        16 ,      5000 ,           8 ,     3 ,0.8316326530612245 ,0.3843537414965986  ,1.842201890085063
     9 ,       0.0001 ,       128 ,        16 ,      5000 ,          16 ,     3 ,0.847972972972973  ,0.40709459459459457 ,1.5838087107475316
    10 ,       0.0001 ,       128 ,        16 ,      5000 ,          32 ,     3 ,0.6934931506849316 ,0.3601598173515982  ,3.119662603809848
    11 ,       0.0001 ,       128 ,        16 ,      5000 ,          64 ,     3 ,0.9427480916030534 ,0.3791348600508906  ,0.641964724211392
    12 ,       0.0001 ,       128 ,        16 ,     10000 ,           8 ,     3 ,0.9138513513513513 ,0.38626126126126126 ,1.0535824824162354
    13 ,       0.0001 ,       128 ,        16 ,     10000 ,          16 ,     3 ,0.9527972027972028 ,0.3782051282051282  ,0.5338347057118218
    14 ,       0.0001 ,       128 ,        16 ,     10000 ,          32 ,     3 ,0.7130281690140845 ,0.375               ,3.001124899216007
    15 ,       0.0001 ,       128 ,        16 ,     10000 ,          64 ,     3 ,0.6827586206896552 ,0.3603448275862069  ,3.295534823830698
    16 ,       0.0001 ,       128 ,        16 ,     50000 ,           8 ,     3 ,0.9098639455782312 ,0.3934240362811791  ,1.0838484167185274
    17 ,       0.0001 ,       128 ,        16 ,     50000 ,          16 ,     3 ,0.95               ,0.41845238095238096 ,0.6009927814734939
    18 ,       0.0001 ,       128 ,        16 ,     50000 ,          32 ,     3 ,0.6913793103448276 ,0.35517241379310344 ,3.278946343605859
    19 ,       0.0001 ,       128 ,        16 ,     50000 ,          64 ,     3 ,0.6802721088435374 ,0.3469387755102041  ,3.3474407842184677
